run_id,method,map_id,workload,n_agents,seed,selector_seed,event_delay,guidance_scale,horizon,completed,throughput,post_shift_completed_100,post_shift_throughput_100,post_shift_wait_rate_100,stale_fraction_auc,version_lag_auc,repair_event_count,repair_rebind_count,unique_field_build_count,new_task_rebind_count,new_task_unique_field_build_count,guidance_generation_seconds,exposure_seconds,repair_field_build_seconds,new_task_field_build_seconds,executor_seconds,wall_time_seconds,collision_count,deadlocked,trace_hash,task_tape_hash
bd5e4a2530b376e3,random_10,two_corridor,abrupt,24,203,2903,0,2.0,400,142,0.355,40,0.4,0.15083333333333335,0.18566176470588236,0.18566176470588236,1,3,3,142,90,0.000102166,0.0002065,0.00031925,0.009540246,0.019534452000000004,0.032232875,0,False,7cec79d6d0b16aee,7ac28b9cf7a2ebd9
9d0c5615c198e723,random_10,two_corridor,abrupt,24,203,4307,0,2.0,400,133,0.3325,44,0.44,0.15875,0.12193627450980392,0.12193627450980392,1,3,3,132,87,0.000101417,0.000205375,0.000321042,0.009263500999999997,0.019450921999999992,0.031880292,0,False,8b4edd7781735ecb,7ac28b9cf7a2ebd9
c22a8511dbb5e160,random_25,two_corridor,abrupt,24,203,1701,0,2.0,400,143,0.3575,47,0.47,0.15333333333333332,0.1409313725490196,0.1409313725490196,1,6,6,143,90,0.0001025,0.000219416,0.000636249,0.009495251,0.019499866999999994,0.032471416,0,False,d92eaf83251466f5,7ac28b9cf7a2ebd9
7a16e0ab72da32f2,random_25,two_corridor,abrupt,24,203,2903,0,2.0,400,127,0.3175,34,0.34,0.13458333333333333,0.2977941176470588,0.2977941176470588,1,6,6,127,83,0.000103459,0.000209542,0.000644709,0.008847957999999994,0.019394418000000014,0.031744334,0,False,cdf296e93f510fd3,7ac28b9cf7a2ebd9
2e64431d17caae87,random_25,two_corridor,abrupt,24,203,4307,0,2.0,400,123,0.3075,31,0.31,0.1575,0.15073529411764705,0.15073529411764705,1,6,6,123,81,0.000101084,0.000210083,0.000641374,0.008621877000000002,0.019267307999999997,0.0313795,0,False,167ea08f8df87096,7ac28b9cf7a2ebd9
ed1332fe5f94fda5,top_10,two_corridor,abrupt,24,203,0,0,2.0,400,153,0.3825,50,0.5,0.1325,0.17483660130718953,0.17483660130718953,1,3,3,152,92,0.000105,0.00020875,0.000320042,0.009814373000000003,0.019664084999999984,0.032694625,0,False,8e8479fff92bf35e,7ac28b9cf7a2ebd9
16f39ea835f0a909,top_25,two_corridor,abrupt,24,203,0,0,2.0,400,153,0.3825,54,0.54,0.1525,0.12336601307189543,0.12336601307189543,1,6,5,151,92,0.000106708,0.00020425,0.000528749,0.009780416000000004,0.01959354799999999,0.032795292,0,False,806f2ae116931d41,7ac28b9cf7a2ebd9
84baa7a0d021e3e0,repair_all,two_corridor,abrupt,24,203,0,0,2.0,400,112,0.28,25,0.25,0.18666666666666668,0.0,0.0,1,23,20,112,73,0.000106042,0.000204875,0.002191457,0.007721123,0.019737205000000015,0.032680959,0,False,e7b6a81621317892,7ac28b9cf7a2ebd9
c348bb64363daa37,no_update,two_corridor,abrupt,24,204,0,0,2.0,400,91,0.2275,22,0.22,0.16958333333333334,0.0,0.0,0,0,0,91,61,0.0,0.0,0.0,0.006530124999999999,0.019797624000000003,0.028803875,0,False,1dfd3f0db17f9f1a,cee9f440aa816274
6b01a83cd1ad1b21,lazy_0,two_corridor,abrupt,24,204,0,0,2.0,400,122,0.305,33,0.33,0.12833333333333333,0.3911290322580645,0.3911290322580645,1,0,0,122,74,0.00010325,0.000206,0.0,0.007948623999999998,0.019654911999999993,0.030432292,0,False,7c665bb79d0ed8ab,cee9f440aa816274
